"201308","25139","AAEC","2580            ","APP MICROECN PRIN  ","AMES        ","Available","3.00","Thru","M W F  ","1010A","1100A","56","100","0","0","0","100","158","1011","0104 ","04","UNIV"
"201308","25142","AAEC","3100            ","FOOD AND FIBER MKT ","STEGELIN    ","Full","3.00","Thru","M W F  ","1010A","1100A","55","55","0","0","0","55","62","1011","0210 ","04","UNIV"
"201308","95140","AAEC","3400            ","INTRO AG POLICY    ","GUNTER      ","Available","3.00","Thru","M W F  ","1115A","1205P","57","100","0","0","0","100","158","1011","0104 ","04","UNIV"
"201308","91097","AAEC","3580            ","INTER ECON PRIN    ","null","Available","4.00","Thru"," T R   ","0900A","1210P","0","0","6","20","0","20","13","1011","0311 ","04","UNIV"
"201308","91097","AAEC","3580            ","INTER ECON PRIN    ","null","Available","4.00","Thru","M W F  ","0900A","1210P","0","0","6","20","0","20","13","1011","0311 ","04","UNIV"
"201308","75153","AAEC","3580            ","INTER ECON PRIN    ","KOSTANDINI  ","Available","4.00","Thru"," T R   ","0930A","1045A","45","60","0","0","0","60","62","1011","0210 ","04","UNIV"
"201308","01562","AAEC","3580L           ","INTER ECON PRIN LAB","KOSTANDINI  ","Available","0.00","Thru","   R   ","1100A","1215P","45","60","0","0","0","60","62","1011","0210 ","04","UNIV"
"201308","01562","AAEC","3580L           ","INTER ECON PRIN LAB","KOSTANDINI  ","Available","0.00","Thru"," T     ","0850A","0915A","45","60","0","0","0","60","62","1011","0210 ","04","UNIV"
"201308","95154","AAEC","3690            ","AGRIBUSINESS FIN   ","KOSTANDINI  ","Available","4.00","Thru"," T     ","1100A","1215P","29","50","0","0","0","50","62","1011","0210 ","04","UNIV"
"201308","95154","AAEC","3690            ","AGRIBUSINESS FIN   ","KOSTANDINI  ","Available","4.00","Thru"," T R   ","1230P","0145P","29","50","0","0","0","50","62","1011","0210 ","04","UNIV"
"201308","05141","AAEC","3980            ","INTRO AGRIBUS MGT  ","STEGELIN    ","Available","3.00","Thru","M W F  ","0230P","0320P","81","100","0","0","0","100","158","1011","0104 ","04","UNIV"
"201308","31581","AAEC","4040            ","QUANT APP AGB MGT  ","LACY        ","Available","4.00","Thru","M W    ","0830A","0945A","14","20","0","0","0","20","30","1011","0307 ","04","UNIV"
"201308","51582","AAEC","4040L           ","QUANT APP AGB LAB  ","LACY        ","Available","0.00","Thru","    F  ","0815A","0955A","13","20","0","0","0","20","30","1011","0307 ","04","UNIV"
"201308","41041","AAEC","4050E           ","AGBUS LAW          ","null","Available","3.00","Thru","VR     ","     ","     ","17","21","0","0","0","21","null","VR  ","VR   ","04","UNIV"
"201308","85145","AAEC","4510            ","LAND ECON & APPRAIS","KRIESEL     ","Available","3.00","Thru","M W F  ","0125P","0215P","21","50","0","0","0","50","62","1011","0210 ","04","UNIV"
"201308","04221","AAEC","4710            ","RURAL ECON DEV GRO ","KRIESEL     ","Available","3.00","Thru"," T R   ","0200P","0315P","9","25","0","0","0","25","56","1011","0212 ","04","UNIV"
"201308","55152","AAEC","4720            ","FOOD ECON DEV ENV  ","HOUSTON     ","Available","3.00","Thru"," T R   ","0330P","0445P","31","50","0","0","0","50","62","1011","0210 ","04","UNIV"
"201308","45143","AAEC","4760            ","AG PROC & MKT ECON ","DORFMAN     ","Available","3.00","Thru","M W F  ","1115A","1205P","29","60","0","0","0","60","62","1011","0210 ","04","UNIV"
"201308","24603","AAEC","4930            ","ENV LAW GOV REG    ","CENTNER     ","Available","3.00","Thru"," T R   ","0200P","0315P","0","0","0","0","0","0","158","1011","0104 ","04","UNIV"
"201308","65144","AAEC","4980            ","AGRIBUSINESS MGT   ","STEGELIN    ","Available","3.00","Thru","M W F  ","1220P","0110P","18","45","0","0","0","45","62","1011","0210 ","04","UNIV"
"201308","45790","AAEC","4990            ","APPLIED ECON TOPICS","null","Available","2.00","Thru"," T R   ","0200P","0315P","0","0","7","20","0","20","13","1011","0311 ","04","UNIV"
"201308","45790","AAEC","4990            ","APPLIED ECON TOPICS","null","Available","2.00","Thru","M W F  ","0200P","0315P","0","0","7","20","0","20","13","1011","0311 ","04","UNIV"
"201308","22589","AAEC","4990            ","APPLIED ECON TOPICS","HOUSTON     ","Full","0.00","Thru","VR     ","     ","     ","0","0","1","1","0","1","null","1011","VR   ","04","UNIV"
"201308","71065","AAEC","6510            ","LAND ECON & APPRAIS","KRIESEL     ","Available","3.00","Thru","M W F  ","0125P","0215P","1","4","0","0","0","4","62","1011","0210 ","04","UNIV"
"201308","15147","AAEC","6580            ","MICRO/APP I        ","WETZSTEIN   ","Available","4.00","Thru","M W F  ","1010A","1100A","6","56","0","0","0","56","56","1011","0212 ","04","UNIV"
